No. of Adults,No. of Children,No. of Infants,Type of Journey (O = one way R = Return),Payment Amount,No. of days prior to departure
1,0,0,R,10158.4,0.336226852
4,0,0,O,16286,4.145011574
2,0,0,R,8278,1.096215278
1,0,0,O,5437.71,1.586261574
1,0,0,R,8678.82,43.66671296
1,0,0,R,4539.82,6.154409722
2,0,0,O,9362.77,0.072291667
5,0,0,R,49761.14,0.193206019
4,0,0,R,24812.66,72.34524306
1,0,0,O,4681.39,2.095543981
1,0,0,R,6757.61,63.48049769
1,0,0,R,4982.77,1.185613426
1,0,0,R,4540.06,8.968287037
3,0,0,R,19781.31,4.573148148
1,0,0,O,5796.79,55.56751157
1,0,0,O,5479.71,2.034814815
1,0,0,R,10665.12,0.437395833
1,0,0,R,8500.77,34.10326389
1,0,0,O,4681.39,0.458564815
1,0,0,R,3800.76,41.54130787
2,0,0,R,20210,237.5232407
1,0,0,R,4070,4.722939815
1,0,0,O,4051.38,9.604178241
2,0,0,R,8140,0.357164352
1,0,0,O,4071.51,3.956585648
2,0,0,R,7602,52.51876157
1,0,0,O,4124.19,2.452453704
1,0,0,O,4124.19,39.8715162
1,0,0,R,3800.76,28.166875
1,0,0,O,4628.71,0.87255787
2,0,0,O,8248.38,1.564050926
1,0,0,O,4071.51,6.453020833
1,0,0,R,7924.37,10.0290625
1,0,0,O,4051.38,35.3637963
3,0,0,R,11404.71,50.22474537
2,0,0,O,8102.76,6.138206019
1,0,0,O,4051.38,15.02666667
1,0,0,O,5158.29,1.275729167
2,0,0,R,16357.64,35.15209491
1,0,0,O,4922.2,9.35337963
1,0,0,O,4902.2,1.56224537
2,0,0,O,8362.78,31.62607639
2,0,0,R,16357.64,4.604328704
2,0,0,R,16357.64,76.09314815
3,0,0,O,14700.6,1.522766204
1,0,0,O,4793.63,0.001493056
1,0,0,O,4681.39,32.07047454
2,0,0,R,9079.63,3.095590278
1,0,0,R,4139,0.546215278
4,0,0,R,40512.85,7.353449074
1,0,0,R,4539.82,3.978206019
2,0,0,R,20163.22,9.487141204
1,0,0,O,8555.97,17.26453704
1,0,0,R,4427.58,13.93775463
2,0,0,O,10906,1.361435185
1,0,0,R,10883,8.337997685
2,0,0,O,8362.78,2.259409722
2,2,0,O,9588,82.07760417
4,0,0,R,31697.5,18.59202546
2,0,0,O,9362.77,45.54570602
3,0,0,O,19812,1.020196759
1,0,0,R,4138,6.645393519
1,0,0,R,9771,50.16021991
1,0,0,R,10036.23,6.374953704
1,0,0,O,4071.51,0.648564815
1,0,0,O,4071.51,2.4234375
1,0,0,O,4071.51,0.441886574
1,0,0,O,4928.2,1.440347222
1,0,0,R,7924.37,14.24671296
1,0,0,O,4071.51,2.57900463
1,0,0,O,4051.38,14.65736111
1,0,0,R,3800.76,7.851736111
1,0,0,O,4071.51,2.578252315
1,0,0,O,4938.2,26.32315972
2,0,0,O,8102.76,12.14605324
1,0,0,R,3873.57,38.56208333
1,0,0,R,3801.57,2.541643519
2,0,0,O,8143.02,3.401284722
3,0,0,O,14814.6,0.196006944
2,0,0,R,8139,2.104074074
1,0,0,R,4135,34.4028125
1,0,0,R,11081.69,82.41422454
1,0,0,R,3800.76,68.36939815
